,similarity_treshold,social_influence,swingers,no_of_neighbors,echo_limit,opinions,Run,Silent_Spiral,community_no,echo_chamber,echo_count,echo_size,majority_percentage,radical_opinions,transitivity,network_type
110,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8045410156,2.0146484375,110,0.62,11,85,0.019353316000000002,"{'3': 81, '4': 1}",0.664,0.025,0.0204643412,2
1100,0.0972753906,0.0412011719,4.07421875,5.27734375,0.8795410156000001,2.4716796875,1100,0.5,4,344,0.048670062300000004,"{'3': 327, '4': 17}",0.532,0.002,0.021101882000000002,2
1101,0.0972753906,0.0412011719,4.07421875,5.70703125,0.9252441406,2.4716796875,1101,0.42,5,375,0.0523743017,"{'3': 363, '4': 12}",0.586,0.0,0.0231216849,2
1102,0.0972753906,0.0412011719,4.07421875,5.70703125,0.8795410156000001,3.5146484375,1102,0.34,3,212,0.0302166477,"{'3': 207, '4': 5}",0.389,0.0,0.016018788000000003,2
1103,0.0366308594,0.0234472656,2.00390625,5.27734375,0.9252441406,3.5146484375,1103,0.1,10,253,0.0354380537,"{'3': 243, '4': 9}",0.734,0.0,0.0230875546,2
1104,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8045410156,3.9716796875,1104,0.30000000000000004,13,81,0.0190051619,{'3': 81},0.535,0.037,0.0198126388,2
1105,0.0816308594,0.0862011719,2.07421875,3.70703125,0.8045410156,3.9716796875,1105,0.28,10,61,0.0143732328,{'3': 61},0.438,0.0,0.0161695073,2
1106,0.0522753906,0.0684472656,2.07421875,3.70703125,0.8045410156,3.9716796875,1106,0.26,14,99,0.0231092437,"{'3': 98, '4': 1}",0.716,0.015,0.021689120200000002,2
1107,0.0522753906,0.0862011719,4.00390625,3.70703125,0.8045410156,3.9716796875,1107,0.22,10,103,0.024172729400000002,"{'3': 102, '4': 1}",0.5750000000000001,0.04,0.0190511417,2
1108,0.0522753906,0.0862011719,2.07421875,3.27734375,0.8045410156,3.9716796875,1108,0.36,9,55,0.0130548303,{'3': 55},0.453,0.0,0.015579833000000001,2
1109,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8502441406,3.9716796875,1109,0.44,11,82,0.0189651136,{'3': 81},0.609,0.021,0.020274738,2
111,0.0816308594,0.0684472656,4.00390625,3.27734375,0.8502441406,2.0146484375,111,0.54,10,85,0.0201040681,{'3': 85},0.547,0.0,0.0190411206,2
1110,0.0522753906,0.0862011719,2.07421875,3.70703125,0.8045410156,2.0146484375,1110,0.46,9,72,0.0171632896,{'3': 72},0.527,0.0,0.0170630729,2
