	no_of_neighbors	similarity_treshold	social_influence	swingers	beta_component	Run	Echo_Chambers	Silent_Spiral	opinions	radical_opinions	network_type
1376	4.7216796875	0.055439453125	0.523369140625	3.00390625	0.16240234375	1376	0	0.26666666666666666	0.49666666666666665	0.16333333333333333	1
1377	4.7216796875	0.055439453125	0.900419921875	3.70703125	0.16240234375	1377	4	0.36666666666666664	0.6833333333333333	0.3333333333333333	1
1378	4.7216796875	0.055439453125	0.900419921875	3.00390625	0.35224609375000004	1378	7	0.3	0.32	0.38	1
1379	4.7216796875	0.055439453125	0.900419921875	3.00390625	0.16240234375	1379	3	0.23333333333333334	0.30666666666666664	0.3466666666666667	1
1380	4.1591796875	0.600712890625	0.028369140624999997	1.70703125	0.80224609375	1380	2	0.23333333333333334	0.39666666666666667	0.0	1
1381	3.2216796875	0.600712890625	0.028369140624999997	1.70703125	0.80224609375	1381	4	0.26666666666666666	0.4766666666666667	0.02	1
1382	4.1591796875	0.550439453125	0.028369140624999997	1.70703125	0.80224609375	1382	1	0.3	0.4766666666666667	0.0033333333333333335	1
1383	4.1591796875	0.600712890625	0.405419921875	1.70703125	0.80224609375	1383	0	0.26666666666666666	0.57	0.0	1
1384	4.1591796875	0.600712890625	0.028369140624999997	1.00390625	0.80224609375	1384	1	0.3	0.5366666666666666	0.0033333333333333335	1
1385	4.1591796875	0.600712890625	0.028369140624999997	1.70703125	0.61240234375	1385	2	0.16666666666666666	0.5766666666666667	0.0	1
1386	4.1591796875	0.550439453125	0.405419921875	1.00390625	0.61240234375	1386	3	0.2	0.4166666666666667	0.0033333333333333335	1
1387	3.2216796875	0.600712890625	0.405419921875	1.00390625	0.61240234375	1387	8	0.3333333333333333	0.4533333333333333	0.0	1
1388	3.2216796875	0.550439453125	0.028369140624999997	1.00390625	0.61240234375	1388	7	0.23333333333333334	0.5433333333333333	0.006666666666666667	1
1389	3.2216796875	0.550439453125	0.405419921875	1.70703125	0.61240234375	1389	8	0.3333333333333333	0.61	0.0	1
1390	3.2216796875	0.550439453125	0.405419921875	1.00390625	0.80224609375	1390	2	0.26666666666666666	0.5133333333333333	0.0	1
1391	3.2216796875	0.550439453125	0.405419921875	1.00390625	0.61240234375	1391	8	0.2	0.5	0.0	1
1392	4.9091796875	0.353212890625	0.770869140625	4.70703125	0.57724609375	1392	9	0.2	0.7233333333333334	0.35333333333333333	1
1393	2.4716796875	0.353212890625	0.770869140625	4.70703125	0.57724609375	1393	11	0.2	0.3466666666666667	0.1	1
1394	4.9091796875	0.302939453125	0.770869140625	4.70703125	0.57724609375	1394	3	0.13333333333333333	0.6833333333333333	0.3233333333333333	1
1395	4.9091796875	0.353212890625	0.157919921875	4.70703125	0.57724609375	1395	1	0.2	0.54	0.0	1
1396	4.9091796875	0.353212890625	0.770869140625	2.00390625	0.57724609375	1396	1	0.36666666666666664	0.6533333333333333	0.36333333333333334	1
1397	4.9091796875	0.353212890625	0.770869140625	4.70703125	0.83740234375	1397	1	0.23333333333333334	0.38666666666666666	0.23	1
